p,d,q,P,D,Q,s,score
1,1,0,1,0,1,52,-0.04896083323190895
1,1,0,1,0,2,52,-0.06559356274905652
1,1,0,1,1,0,52,-0.044096367901246214
1,1,0,1,1,1,52,-0.04382702477720879
1,1,0,1,1,2,52,-0.0424938325802581
1,1,1,0,0,0,52,-0.028476940353920132
1,1,1,0,0,1,52,-0.028854927189960383
1,1,1,0,0,2,52,-0.030282525577196646
1,1,1,0,1,0,52,-0.07960046416179141
1,1,1,0,1,1,52,-0.03955133100236278
1,1,1,0,1,2,52,-0.03749718887062955
1,1,1,1,0,0,52,-0.0287757003975614
1,1,1,1,0,1,52,-0.029118926779120924
1,1,1,1,0,2,52,-0.030965031851912198
1,1,1,1,1,0,52,-0.04374212474824385
1,1,1,1,1,1,52,-0.037449342841785825
1,1,1,1,1,2,52,-0.0373262905085023
1,1,2,0,0,0,52,-0.028600680931190604
1,1,2,0,0,1,52,-0.029031665489854905
1,1,2,0,0,2,52,-0.030254114743721344
1,1,2,0,1,0,52,-0.07984690211662518
1,1,2,0,1,1,52,-0.03957274650431502
1,1,2,0,1,2,52,-0.03744811792893191
1,1,2,1,0,0,52,-0.02888099161346437
1,1,2,1,0,1,52,-0.02918842146085789
1,1,2,1,0,2,52,-0.031013218885853674
1,1,2,1,1,0,52,-0.04376945226744611
1,1,2,1,1,1,52,-0.03733396949462377
1,1,2,1,1,2,52,-0.03724598152385201
2,0,0,0,0,0,52,-0.13195234124029123
2,0,0,0,0,1,52,-0.1223491465928986
2,0,0,0,0,2,52,-0.09125661861689154
2,0,0,0,1,0,52,-0.048904682874678806
2,0,0,0,1,1,52,-0.03748846106790748
2,0,0,0,1,2,52,-0.0377778468372652
2,0,0,1,0,0,52,-0.1165568197115534
2,0,0,1,0,1,52,-0.06425444454606778
2,0,0,1,0,2,52,-0.05829140763318776
2,0,0,1,1,0,52,-0.042753620031679616
2,0,0,1,1,1,52,-0.038266316365508
2,0,0,1,1,2,52,-0.03822562081657239
2,0,1,0,0,0,52,-0.030909807700144853
2,0,1,0,0,1,52,-0.04319532869290179
2,0,1,0,0,2,52,-0.03490476536811594
2,0,1,0,1,0,52,-0.04982166673847252
2,0,1,0,1,1,52,-0.038721644023591954
2,0,1,0,1,2,52,-0.03922075946053683
2,0,1,1,0,0,52,-0.04820171249386535
2,0,1,1,0,1,52,-0.040714574738848444
2,0,1,1,0,2,52,-0.033501172641934494
2,0,1,1,1,0,52,-0.04381220734536621
2,0,1,1,1,1,52,-0.039803655548287874
2,0,1,1,1,2,52,-0.03981101679348815
2,0,2,0,0,0,52,-0.029683925489063356
2,0,2,0,0,1,52,-0.030140993305462906
2,0,2,0,0,2,52,-0.030909989575868407
2,0,2,0,1,0,52,-0.049847834623647704
2,0,2,0,1,1,52,-0.03885660135910405
2,0,2,0,1,2,52,-0.039386589846424395
2,0,2,1,0,0,52,-0.030532212900269085
2,0,2,1,0,1,52,-0.029176357423655087
2,0,2,1,0,2,52,-0.031058139068121358
2,0,2,1,1,0,52,-0.043759754740019245
2,0,2,1,1,1,52,-0.03942057173715769
